City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,north myrtle beach,33.816,-78.68,49.1,79,100,6.91,US,1675607638
151,sao joao da ponte,-15.9292,-44.0078,84.96,53,1,3.11,BR,1675607639
152,mahebourg,-20.4081,57.7,82.69,78,40,6.91,MU,1675607567
153,hobart,-42.8794,147.3294,58.86,75,96,13.8,AU,1675607371
154,kimberley,-28.7323,24.7623,76.69,44,40,18.41,ZA,1675607639
155,riyadh,24.6877,46.7219,75.34,29,2,5.79,SA,1675607583
156,yeniseysk,58.4497,92.1703,-3.84,100,100,1.77,RU,1675607640
157,comodoro rivadavia,-45.8667,-67.5,82.26,26,0,26.46,AR,1675607640
158,san patricio,28.017,-97.5169,55.85,86,0,1.7,US,1675607641
159,yining,29.0361,114.5636,46.65,97,97,0.96,CN,1675607642
160,vila,42.0304,-8.1588,54.7,35,0,4.05,PT,1675607515
161,half moon bay,37.4636,-122.4286,52.79,88,100,1.99,US,1675607643
162,carnarvon,-24.8667,113.6333,77.72,76,3,18.16,AU,1675607645
163,santa marta,11.2408,-74.199,84.88,60,95,11.01,CO,1675607646
164,northam,51.0333,-4.2167,50.25,74,100,6.13,GB,1675607647
165,lexington,37.9887,-84.4777,46.24,54,0,16.11,US,1675607594
166,bengkulu,-3.8004,102.2655,76.14,88,100,7.25,ID,1675607649
167,mar del plata,-38.0023,-57.5575,78.94,55,0,15.99,AR,1675607482
168,ilulissat,69.2167,-51.1,3.22,72,100,12.66,GL,1675607650
169,weligama,5.9667,80.4167,76.42,89,100,1.01,LK,1675607651
170,saint-philippe,-21.3585,55.7679,83.79,85,80,10.49,RE,1675607651
171,provideniya,64.3833,-173.3,0.93,96,100,9.28,RU,1675607652
172,tessalit,20.1986,1.0114,83.46,8,47,6.26,ML,1675607653
173,bodden town,19.2833,-81.25,81.99,71,20,5.75,KY,1675607654
174,ponta do sol,32.6667,-17.1,63.23,64,26,2.89,PT,1675607655
175,lima,-12.0432,-77.0282,75.45,69,19,11.5,PE,1675607473
176,kahului,20.8947,-156.47,73.85,86,20,10.0,US,1675607656
177,dunedin,-45.8742,170.5036,63.81,70,85,5.99,NZ,1675607436
178,sola,-13.8833,167.55,82.94,75,100,24.81,VU,1675607658
179,kutum,14.2,24.6667,85.51,6,66,3.18,SD,1675607659
180,clyde river,70.4692,-68.5914,-14.57,64,100,12.66,CA,1675607660
181,poum,-20.2333,164.0167,83.07,83,20,20.27,NC,1675607661
182,santa fe,-31.6333,-60.7,89.02,35,0,5.99,AR,1675607399
183,tasiilaq,65.6145,-37.6368,28.56,81,100,22.17,GL,1675607662
184,pevek,69.7008,170.3133,-37.8,100,82,2.73,RU,1675607663
185,hounde,11.5,-3.5167,98.33,8,10,5.73,BF,1675607664
186,nouadhibou,20.931,-17.0347,73.38,25,100,18.41,MR,1675607665
187,mabai,23.0128,104.4508,56.01,93,69,4.81,CN,1675607665
188,hervey bay,-25.2986,152.8535,78.12,89,100,11.18,AU,1675607666
189,nachalovo,46.338,48.2013,28.33,79,75,8.95,RU,1675607667
190,port macquarie,-31.4333,152.9167,69.89,80,26,1.88,AU,1675607668
191,dwarka,22.2394,68.9678,71.17,75,0,10.4,IN,1675607668
192,tiksi,71.6872,128.8694,-29.29,100,100,3.33,RU,1675607669
193,tete,-16.1564,33.5867,95.09,46,40,5.75,MZ,1675607670
194,jieshi,22.8134,115.8257,63.05,89,100,14.61,CN,1675607670
195,mount pleasant,32.7941,-79.8626,48.02,98,100,9.22,US,1675607435
196,saldanha,-33.0117,17.9442,78.85,79,45,19.86,ZA,1675607671
197,ponta delgada,37.7333,-25.6667,63.32,77,20,10.36,PT,1675607671
198,keetmanshoop,-26.5833,18.1333,89.06,36,80,16.82,NA,1675607672
199,shizunai,42.3339,142.3669,33.4,76,99,18.7,JP,1675607672
200,adrar,20.5022,-10.0711,72.48,17,48,12.33,MR,1675607672
201,narok,-1.0783,35.8601,81.0,17,100,9.4,KE,1675607673
202,alofi,-19.0595,-169.9187,76.89,94,100,2.3,NU,1675607673
203,port lincoln,-34.7333,135.8667,62.04,83,0,10.67,AU,1675607674
204,bay roberts,47.5999,-53.2648,23.14,75,6,8.99,CA,1675607674
205,cockburn town,21.4612,-71.1419,76.42,78,8,20.56,TC,1675607675
206,tarko-sale,64.9225,77.785,-6.65,100,94,5.73,RU,1675607675
207,kaka,37.3482,59.6143,48.72,65,1,11.41,TM,1675607675
208,namibe,-15.1961,12.1522,75.9,68,61,11.16,AO,1675607676
209,nouakchott,18.0858,-15.9785,78.73,25,33,11.61,MR,1675607676
210,kulhudhuffushi,6.6221,73.07,81.41,71,64,1.45,MV,1675607378
211,uvalde,29.3669,-99.767,47.12,100,0,4.61,US,1675607677
212,kidal,18.4411,1.4078,88.86,7,6,1.16,ML,1675607677
213,lompoc,34.6391,-120.4579,52.79,87,100,20.0,US,1675607677
214,kovernino,57.1253,43.8142,16.32,96,96,4.29,RU,1675607678
215,hambantota,6.1241,81.1185,80.94,89,40,5.75,LK,1675607678
216,assiniboia,49.6334,-105.9845,17.42,79,5,4.61,CA,1675607679
217,bowen,-20.0167,148.2333,81.57,84,23,13.78,AU,1675607679
218,san cristobal,7.7669,-72.225,71.78,58,52,8.05,VE,1675607680
219,pagudpud,18.5616,120.7868,74.14,83,53,6.11,PH,1675607680
220,komatsu,36.4026,136.4509,34.83,86,20,6.91,JP,1675607681
221,emirdag,39.0197,31.15,33.96,71,100,13.53,TR,1675607681
222,aksarka,66.5606,67.7975,-7.22,99,58,6.38,RU,1675607614
223,waingapu,-9.6567,120.2641,77.16,91,100,7.2,ID,1675607682
224,mastic beach,40.7668,-72.8521,41.14,63,0,13.8,US,1675607682
225,kiunga,-6.1219,141.2906,73.2,99,100,2.24,PG,1675607683
226,punta alta,-38.8759,-62.0736,92.53,32,49,14.79,AR,1675607683
227,antigonish,45.6169,-61.9986,16.14,77,97,3.0,CA,1675607434
228,arlit,18.7369,7.3853,91.78,7,15,8.61,NE,1675607684
229,chesma,53.8111,60.6533,-0.47,100,94,6.76,RU,1675607684
230,januaria,-15.4833,-44.3667,88.66,49,0,3.47,BR,1675607685
231,carson city,39.1638,-119.7674,34.21,89,100,8.01,US,1675607685
232,faya,18.3851,42.4509,68.11,51,98,7.25,SA,1675607685
233,bridgetown,13.1,-59.6167,82.89,65,75,23.02,BB,1675607538
234,narsaq,60.9167,-46.05,19.62,82,99,4.32,GL,1675607686
235,najran,17.4924,44.1277,79.45,24,100,12.12,SA,1675607686
236,novelda,38.3848,-0.7677,61.65,70,1,7.18,ES,1675607687
237,plouzane,48.3833,-4.6167,52.12,79,100,8.05,FR,1675607688
238,senador jose porfirio,-2.5908,-51.9542,83.44,68,75,3.62,BR,1675607689
239,marsa matruh,31.3525,27.2453,66.4,34,40,26.46,EG,1675607689
240,minot,48.2325,-101.2963,21.42,86,0,9.22,US,1675607640
241,bilibino,68.0546,166.4372,-24.93,99,100,2.08,RU,1675607553
242,grand gaube,-20.0064,57.6608,82.8,76,59,5.01,MU,1675607690
243,cabo san lucas,22.8909,-109.9124,65.52,59,1,3.06,MX,1675607691
244,honningsvag,70.9821,25.9704,26.35,93,100,27.63,NO,1675607691
245,olkhovka,53.2115,60.6069,0.68,99,94,7.94,RU,1675607692
246,phangnga,8.4509,98.5298,80.64,85,8,4.18,TH,1675607692
247,krivosheino,57.3431,83.9261,-1.73,100,88,2.71,RU,1675607692
248,palana,59.1167,159.9667,-13.05,99,42,5.01,RU,1675607693
249,hamilton,39.1834,-84.5333,45.23,59,0,14.97,US,1675607694
250,doka,13.5167,35.7667,93.67,15,98,11.14,SD,1675607694
251,te anau,-45.4167,167.7167,56.26,92,100,10.54,NZ,1675607556
252,prince rupert,54.3161,-130.3201,42.49,75,20,24.16,CA,1675607695
253,lumeje,-11.55,20.7833,71.46,76,99,11.92,AO,1675607695
254,ouadda,8.0777,22.4007,99.07,8,19,5.57,CF,1675607695
255,bethel,41.3712,-73.414,36.54,57,0,10.36,US,1675607559
256,diffa,13.3154,12.6113,92.73,10,99,12.55,NE,1675607696
257,upernavik,72.7868,-56.1549,-16.44,98,98,5.17,GL,1675607410
258,namatanai,-3.6667,152.4333,78.06,81,99,3.06,PG,1675607697
259,castro,-24.7911,-50.0119,75.83,59,72,8.68,BR,1675607697
260,shelburne,44.0787,-80.2041,32.45,82,100,15.39,CA,1675607587
261,nanortalik,60.1432,-45.2371,24.12,52,99,12.91,GL,1675607698
262,roald,62.5833,6.1333,44.76,93,75,10.36,NO,1675607698
263,teya,60.3778,92.6267,5.74,98,100,4.03,RU,1675607699
264,manadhoo,5.7667,73.3833,81.12,74,100,5.55,MV,1675607699
265,isangel,-19.55,169.2667,80.31,85,100,5.88,VU,1675607699
266,kommunar,59.6206,30.39,20.73,87,100,7.99,RU,1675607563
267,hue,16.4667,107.6,75.31,88,40,2.3,VN,1675607700
268,tura,25.5198,90.2201,60.66,44,0,2.42,IN,1675607701
269,yantal,56.8471,105.2542,7.21,98,100,3.49,RU,1675607701
270,manta,-0.95,-80.7333,80.38,74,40,2.3,EC,1675607701
271,praia,14.9215,-23.5087,77.54,47,20,20.71,CV,1675607703
272,topolovatu mare,45.7739,21.6189,32.83,62,19,16.78,RO,1675607704
273,saravan,39.7196,45.6483,24.84,95,100,2.24,AM,1675607705
274,jacqueville,5.2052,-4.4146,81.12,73,68,11.27,CI,1675607705
275,muros,42.7762,-9.0603,63.68,45,0,4.79,ES,1675607706
276,rehnan,32.6846,51.6013,44.11,40,0,4.65,IR,1675607707
277,ngunguru,-35.6167,174.5,65.1,94,100,8.21,NZ,1675607708
278,auki,-8.7676,160.7034,76.46,97,100,14.32,SB,1675607708
279,port hardy,50.6996,-127.4199,42.98,100,75,2.3,CA,1675607709
280,terrace,54.5163,-128.6035,39.11,93,75,12.66,CA,1675607710
281,vao,-22.6667,167.4833,78.8,87,47,19.08,NC,1675607710
282,kruisfontein,-34.0033,24.7314,84.88,66,4,22.24,ZA,1675607711
283,gizo,-8.103,156.8419,79.41,89,100,16.4,SB,1675607712
284,la tuque,47.4334,-72.7824,1.65,78,100,5.75,CA,1675607420
285,labuhan,-6.8844,112.2051,78.71,85,100,7.76,ID,1675607714
286,olafsvik,64.8945,-23.7142,42.12,90,88,22.82,IS,1675607715
287,thunder bay,48.4001,-89.3168,10.38,67,100,3.44,CA,1675607640
288,dauphin,51.1494,-100.0502,8.74,92,100,4.61,CA,1675607716
289,shakiso,5.75,38.9167,78.78,17,7,10.07,ET,1675607716
290,cherskiy,68.75,161.3,-41.76,100,100,4.72,RU,1675607717
291,la huerta,19.4667,-104.65,63.09,41,0,1.7,MX,1675607718
292,caraballeda,10.6112,-66.8522,85.86,68,20,4.61,VE,1675607718
293,verkhnyaya khava,51.8404,39.9413,28.47,97,82,5.91,RU,1675607719
294,vieste,41.8825,16.175,42.66,53,54,31.68,IT,1675607720
295,benito juarez,19.385,-99.165,55.99,52,0,0.0,MX,1675607703
296,port-gentil,-0.7193,8.7815,84.16,74,40,12.66,GA,1675607722
297,boca do acre,-8.7522,-67.3978,73.96,91,100,1.1,BR,1675607723
298,penzance,50.1186,-5.5371,48.88,69,56,14.29,GB,1675607724
299,east london,-33.0153,27.9116,85.14,70,0,14.97,ZA,1675607725
300,hualmay,-11.0964,-77.6139,76.39,70,50,6.26,PE,1675607726
301,kupang,-10.1667,123.5833,76.86,86,96,6.76,ID,1675607727
302,magistralnyy,56.1725,107.4458,7.52,97,100,3.33,RU,1675607727
303,sur,22.5667,59.5289,72.37,73,31,8.46,OM,1675607728
304,langxiang,46.95,128.8833,-3.68,100,93,2.57,CN,1675607728
305,paita,-5.0892,-81.1144,78.66,65,97,5.75,PE,1675607729
306,katsuura,35.1333,140.3,48.9,79,30,3.29,JP,1675607729
307,kijang,35.2442,129.2139,29.93,35,0,4.97,KR,1675607730
308,tiassale,5.8983,-4.8283,98.82,30,100,4.56,CI,1675607730
309,bassano,50.7834,-112.4685,28.89,92,65,3.98,CA,1675607731
310,qaqortoq,60.7167,-46.0333,20.44,78,100,7.27,GL,1675607731
